site,category,contact_name,contact_email,outreach_date,status,followup_date,notes,agreed_link_url
Manchester Evening News,Local News,Editorial Team,editor@men-example.com,2026-05-19,pending,,Local news outreach,
Yell,Directory,Listings,listing@yell-example.com,2026-05-19,pending,,Directory listing,
FreeIndex,Directory,Support,help@freeindex-example.com,2026-05-19,pending,,Directory listing,
Checkatrade,Directory,Partnerships,partners@checkatrade-example.com,2026-05-19,pending,,Trust directory,
Hotfrog,Directory,Listings,contact@hotfrog-example.co.uk,2026-05-19,pending,,Directory listing,
Thomson Local,Directory,Support,support@thomsonexample.com,2026-05-19,pending,,Local directory,
Rightmove Local,Property,Editorial Team,editor@property-example.com,2026-05-19,pending,,Property blog/resource,
Zoopla Blog,Property,Content Team,content@zoopla-example.com,2026-05-19,pending,,Guest post opportunity,
Estate Agent Today,Industry,Editorial Team,editor@estateagenttoday-example.com,2026-05-19,pending,,PR/guest post,
Local Chamber of Commerce,Organization,Membership,info@manchesterchamber-example.com,2026-05-19,pending,,Business directory,
Airbnb Community,Community,Community Team,community@airbnb-example.com,2026-05-19,pending,,Host resources,
Hostfully Blog,Travel,Editorial,editor@hostfully-example.com,2026-05-19,pending,,Guest post,
Student Accommodation,Resources,Editor,editor@studentaccom-example.com,2026-05-19,pending,,Student housing resources,
Manchester Student,Local Blog,Content Team,info@manchesterstudent-example.com,2026-05-19,pending,,Local student resources,
HomeOwners UK,Consumer,Editorial,editor@homeowners-example.com,2026-05-19,pending,,Home care content,
Local Lets,Property,Support,hello@locallets-example.com,2026-05-19,pending,,Letting agent partnerships,
Movers & Packers,Local Business,Partnerships,partners@movers-example.com,2026-05-19,pending,,Co-marketing,
Storage Services,Local Business,Partnerships,hello@storage-example.com,2026-05-19,pending,,Co-marketing,
Manchester Property Blog,Local Blog,Blog Editor,editor@manchesterproperty-example.com,2026-05-19,pending,,Guest post,
Greater Manchester News,Local News,News Desk,news@gmnews-example.com,2026-05-19,pending,,Press pitch,
Local Business Network,Directory,Admin,admin@lbn-example.com,2026-05-19,pending,,Directory listing,
Family Living Manchester,Lifestyle,Editor,editor@familyliving-example.com,2026-05-19,pending,,Contributor article,
Home & Garden UK,Consumer,Content Team,content@homegarden-example.com,2026-05-19,pending,,Resource link,
Property Tribes,Industry,Editor,editor@propertytribes-example.com,2026-05-19,pending,,Guest post,
Letting Agent Blog,Property,Content,content@lettingblog-example.com,2026-05-19,pending,,Partner content,
Student Lets Advice,Community,Moderator,hello@studentlets-example.com,2026-05-19,pending,,Resource link,
Manchester On Demand,Local Directory,Listings,info@mod-example.com,2026-05-19,pending,,Local listing,
Green Business Directory,Directory,Admin,info@greenbiz-example.com,2026-05-19,pending,,Sustainability angle,
Local Food & Living,Local Blog,Editor,editor@localfood-example.com,2026-05-19,pending,,Community content,
Cleaning Advice,Industry,Blog Editor,editor@cleaningadvice-example.com,2026-05-19,pending,,Expert contribution,
PropertyCare UK,Industry,Content,content@propertycare-example.com,2026-05-19,pending,,Resource link,
Holiday Lettings Blog,Travel,Editor,editor@holidaylettings-example.com,2026-05-19,pending,,Guest post,
Manchester Independents,Local Directory,Coordinator,coordinator@manchesterind-example.com,2026-05-19,pending,,Local business listing,
Sustainable Living Blog,Environment,Editor,editor@sustainable-example.com,2026-05-19,pending,,Sustainability feature,
Local Influencer Network,Marketing,Partnerships,hello@influencer-network-example.com,2026-05-19,pending,,Influencer partnerships,
Student Union Blog,University,Editor,editor@su-example.com,2026-05-19,pending,,Resource link,
Letting Agent Partnership,Agency,Partnerships,partners@lettingagent-example.com,2026-05-19,pending,,Referral program,
Manchester Events,Local News,Events Team,events@manchesterevents-example.com,2026-05-19,pending,,Sponsorship opportunity,
Neighbourhood Watch,Community,Coordinator,coordinator@nw-example.com,2026-05-19,pending,,Community resource,
Local Charity,Charity,Volunteer Coordinator,volunteer@charity-example.com,2026-05-19,pending,,CSR/sponsorship,
Property Management Forum,Industry,Moderator,moderator@pmforum-example.com,2026-05-19,pending,,Forum contribution,
Home Staging Blog,Interior,Editor,editor@staging-example.com,2026-05-19,pending,,Guest post/resource,
Cleaning Supplies Retailer,Retail,Partnerships,partners@cleaningsupplies-example.com,2026-05-19,pending,,Cross-promo,
Real Estate Podcast,Media,Producer,producer@repodcast-example.com,2026-05-19,pending,,Podcast guest pitch,
Local Business Awards,Organization,Admin,admin@lba-example.com,2026-05-19,pending,,Awards submission,
Small Business UK,Resource,Editor,editor@sbu-example.com,2026-05-19,pending,,Business feature,
Manchester Tourism,Organisation,Partnerships,partners@visitmanchester-example.com,2026-05-19,pending,,Local tourism resources
Bark,Directory,Listings,listing@bark-example.com,2026-05-19,pending,,Directory listing
